pair_id,video1,video2,pair_feature,trajectory1_feature,trajectory2_feature,dist
10,mg_demo_2477,paired_demo_43,"(1, 4)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.030003994583675864, 8.421253289799333, 5.595199684657242, 2.795965380045831, 1.8415250775137078, 7.593219040067982, 3.999999999999999, 3.892854036014948, 4.376764289476762, 5.78905695698688, 6.153846153846154, 5.9016393442622945, 1.2790697674418618, 1.932387094274399, 0.668443085448021, 1.0612528889957469, 0.3343096957521703, 0.3343096957521703, 3.228574577457905, 5.99117689832946]",50.36864545107778
11,mg_demo_2477,paired_demo_53,"(1, 4)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.09308687589075448, 8.146520586316269, 2.5063716994824796, 1.568497620788238, 4.194846551253651, 2.376205305869222, 3.999999999999999, 4.753077751740499, 5.73270320452236, 8.664534825915947, 6.730769230769231, 7.049180327868853, 2.2093023255813966, 2.1667907301615132, 1.0877392788203681, 1.5749236624972314, 0.20354623891334334, 0.20354623891334334, 9.818415537949827, 2.9895280670085427]",47.620256834848746
12,mg_demo_2477,paired_demo_73,"(1, 4)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.028662760890353356, 5.084495360493451, 2.020692378563493, 5.6832064637211275, 5.075555836999414, 4.878356871370503, 0.0, 6.861094189360001, 3.7495239661066178, 5.59460087768216, 7.6923076923076925, 5.409836065573771, 2.9069767441860472, 2.472466515136241, 1.4755542799158299, 1.938272104571905, 0.00927578027140652, 0.00927578027140652, 3.476025091553918, 9.19600355946817]",53.686919865776744
13,mg_demo_2477,ph_demo_44,"(1, 4)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.059914227618236726, 1.0864567018633289, 4.251488507474954, 0.0, 2.77083001209197, 1.2094662243789163, 3.999999999999999, 4.0679996988067035, 4.7352663344090615, 5.774402395450768, 8.26923076923077, 6.229508196721311, 1.6279069767441872, 1.5008833726526494, 0.5012188755298754, 1.3675186531314651, 0.4070252783485353, 0.4070252783485353, 2.568602739179665, 2.757918938124617]",57.20217215260409
14,mg_demo_2477,ph_demo_7,"(1, 4)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.11979974423562689, 4.590690573473687, 3.360504062536244, 2.237178765924111, 3.0958331475007954, 9.407160758319918, 1.9999999999999998, 5.156695628031912, 4.772731798687311, 5.701903710208101, 7.307692307692309, 6.229508196721311, 1.5116279069767455, 1.7773705898528662, 0.9028734561235081, 0.9528621348637005, 0.019680945790202742, 0.019680945790202742, 6.0906714410571965, 6.615083887948419]",54.34637205028961
15,mg_demo_2477,mh_demo_40,"(1, 5)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.031037685539582527, 0.5491779569765596, 2.7818620283776307, 9.999999999999998, 10.0, 2.504591616037665, 1.9999999999999998, 4.133665498637525, 0.006818578711021317, 0.6013017032349337, 5.769230769230769, 2.622950819672131, 2.790697674418606, 1.6539146663348288, 0.22942959969354382, 0.9946461276745746, 0.10109666744363222, 0.10109666744363222, 0.3774696911658175, 0.0]",76.05706554668859
16,mg_demo_2477,ph_demo_116,"(1, 5)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.09065569366398041, 0.0, 8.09580964655712, 7.055298034904785, 4.021895783936161, 4.128438293933551, 0.0, 0.13803637274077474, 0.0, 0.0, 2.884615384615385, 2.1311475409836063, 0.3488372093023271, 1.7354816994850417, 0.69875807042056, 0.2747790246735833, 0.7822514999959862, 0.7822514999959862, 6.461410083058956, 9.24573882040161]",65.83057400143032
17,mg_demo_2477,mh_demo_140,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.017917306913391773, 2.716310256006702, 9.999999999999998, 1.1165381663382468, 3.088787178563366, 5.568472110266621, 3.999999999999999, 1.497441974188194, 4.255719338641152, 2.9043246964044807, 6.923076923076924, 7.5409836065573765, 2.2093023255813966, 1.2545533587673523, 0.0, 1.1672404072798443, 0.11443154166776748, 0.11443154166776748, 2.8691835100743823, 3.9858631414006744]",60.33075254204582
18,mg_demo_2477,mh_demo_195,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.07520122745648128, 1.7140353425570543, 8.23050976173881, 1.3400859554931328, 5.304205009268701, 0.47122741852897665, 1.9999999999999998, 0.2032211323427413, 4.254161881304307, 3.94678272822013, 8.653846153846153, 7.704918032786885, 2.5581395348837224, 0.0, 0.23910986987862382, 0.5320786568778377, 0.10396086511057345, 0.10396086511057345, 1.000453953466764, 5.564045666923146]",63.26923429971116
19,mg_demo_2477,mh_demo_2,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.0696134482761277, 5.8194969886796475, 8.049491363053715, 2.4529017638994763, 7.2645254856032, 6.327706167224382, 3.999999999999999, 4.46061521754739, 3.1024613325262416, 3.5494886998375366, 8.26923076923077, 4.918032786885246, 0.6976744186046524, 1.4421701309588242, 0.9995266901004456, 0.3732626560428154, 0.14249909153665152, 0.14249909153665152, 3.9131396230302036, 3.7968273506449393]",60.57038208013527
20,mg_demo_2477,mh_demo_44,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.07618181905731503, 5.130945502118546, 8.476994753774218, 1.3946507481227537, 2.3857442805980122, 10.0, 3.999999999999999, 4.7042838090268875, 2.8673166431769106, 3.6359610211155653, 10.0, 4.426229508196721, 0.3488372093023271, 0.9625062724759763, 0.5650441391830441, 0.4659926160268031, 0.5120099297539031, 0.5120099297539031, 1.2304592870439346, 6.149203294231183]",63.12183592516094
21,mg_demo_2477,paired_demo_191,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.06408216585532311, 4.150756995362292, 8.617594153868012, 2.2729705914764575, 1.7052030874791462, 1.9651860778714978, 5.999999999999999, 0.0, 2.034621507031078, 3.637672709868254, 3.4615384615384617, 4.098360655737705, 0.813953488372094, 1.3166518043702808, 1.3786512753367224, 0.8111862949353958, 0.19636416229801812, 0.19636416229801812, 8.585334342850405, 3.8466127994549293]",54.824644054990145
22,mg_demo_2477,paired_demo_37,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.0006674837499169861, 6.683768870262645, 6.992127265273947, 0.5634470709907462, 2.1633517628140266, 5.702792435213271, 1.9999999999999998, 2.7986564496841093, 3.7771846759011836, 5.768283829345765, 5.1923076923076925, 5.081967213114754, 0.813953488372094, 1.5577167885703096, 0.7402231361151248, 0.8027879706127785, 0.35781870304510477, 0.35781870304510477, 8.576755746638192, 3.807327088082972]",54.105458086646095
23,mg_demo_2477,paired_demo_47,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.14102783725635448, 2.901307514452607, 6.910862410868053, 0.6774448053973765, 3.9726141603762675, 7.670717701629112, 3.999999999999999, 5.040946895449138, 3.5607899093333377, 4.995164762668234, 8.653846153846153, 5.409836065573771, 1.0465116279069777, 1.6300808355184044, 0.790117288113519, 0.7816094882346483, 0.39993894677602415, 0.39993894677602415, 0.14090143702932956, 5.297599618096848]",60.42408800842303
24,mg_demo_2477,paired_demo_59,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.1326029056898329, 1.036387033087553, 8.957807531273385, 2.0656034458049164, 4.106161384138796, 4.193854616979807, 1.9999999999999998, 0.12815516590280396, 2.2064032653277073, 2.518883893455743, 5.1923076923076925, 4.098360655737705, 0.0, 1.0028321737270267, 0.848055520821539, 0.0, 0.7926481224367861, 0.7926481224367861, 1.3749841623785528, 5.940093196690835]",65.17149243729091
25,mg_demo_2477,ph_demo_15,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.2286757127297807, 4.950955541427558, 6.948307838850738, 0.09221340295884461, 2.9834519134063786, 3.569943316228348, 1.9999999999999998, 1.0135764004227727, 3.7750561151305835, 5.222925097435173, 4.423076923076924, 5.245901639344263, 0.9302325581395365, 1.4181011861013342, 0.7995360853310882, 0.58658653003103, 0.8139326823179389, 0.8139326823179389, 8.499807092440758, 4.47607336956357]",54.4779211658456
26,mg_demo_2477,ph_demo_196,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.031326273245388614, 3.0913344503603772, 8.258870069248541, 1.3245042712548925, 5.4139491293326865, 6.153483624162946, 1.9999999999999998, 3.3826674046098137, 2.8346581993998563, 4.224605004964638, 8.076923076923077, 5.245901639344263, 0.9302325581395365, 1.1639665980187095, 0.6874373101992777, 0.3179269966956857, 0.4798290986509097, 0.4798290986509097, 4.780378729195716, 2.86975649277863]",62.813622405973405
27,mg_demo_2477,ph_demo_20,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.021749528668980056, 4.728835974670422, 8.32804274523407, 1.8638704771931187, 5.258183757592393, 7.280452144722689, 1.9999999999999998, 3.0099095940008, 2.4901157644404392, 3.58784457928652, 5.1923076923076925, 4.262295081967213, 0.11627906976744296, 1.3266402414869578, 0.9684195797883788, 0.11414238540774058, 0.43025239988016906, 0.43025239988016906, 10.0, 5.728192254611126]",60.79929405086843
28,mg_demo_2477,ph_demo_33,"(1, 6)","[1.9634765009163304, 8.027575228437309, 6.0486458760731825, 2.902390268182776, 0.8522162248355043, 1.8892711727282308, 5.999999999999999, 9.771357782264765, 9.999999999999998, 9.3494500945145, 0.0, 8.19672131147541, 10.0, 9.734382895516859, 6.786784355740756, 5.321979292881965, 5.318658422253437, 5.318658422253437, 7.094480790494563, 10.0]","[0.10126233774230631, 5.412496015784248, 6.640892723541306, 0.34070851438405114, 6.62402214271806, 2.0227924874205234, 1.9999999999999998, 1.4257201547495346, 4.1166354256767095, 6.106353785394877, 7.115384615384616, 6.065573770491803, 1.6279069767441872, 1.7172387505491713, 0.8648015849745323, 0.6662789868318206, 0.386302150970536, 0.386302150970536, 7.853393875359618, 2.334576288020273]",56.32715352972956
29,mg_demo_3362,mg_demo_3390,"(1, 1)","[0.94695998679335, 5.252630516297795, 6.342468257979347, 6.827937805168853, 0.43178292749445335, 2.5351853678676814, 5.999999999999999, 6.395223142496601, 0.20599882012298654, 3.3846967653909696, 0.5769230769230766, 0.0, 9.651162790697677, 9.214784626549752, 9.39170914800027, 7.150960512935063, 8.315523560835778, 8.315523560835778, 7.652986761974077, 9.947373394803114]","[0.9169997283560608, 4.6799576477190925, 8.802071584868973, 3.491908039407841, 2.8749081535511323, 7.39090644831747, 5.999999999999999, 7.37519477687892, 4.391763102629253, 6.892841605126646, 0.0, 2.78688524590164, 10.0, 8.49053953655586, 9.795797729917087, 10.0, 8.860607895361946, 8.860607895361946, 4.442620976383843, 6.381188716474167]",24.406451963569005
30,mg_demo_3362,mg_demo_3706,"(1, 1)","[0.94695998679335, 5.252630516297795, 6.342468257979347, 6.827937805168853, 0.43178292749445335, 2.5351853678676814, 5.999999999999999, 6.395223142496601, 0.20599882012298654, 3.3846967653909696, 0.5769230769230766, 0.0, 9.651162790697677, 9.214784626549752, 9.39170914800027, 7.150960512935063, 8.315523560835778, 8.315523560835778, 7.652986761974077, 9.947373394803114]","[3.246800584110729, 8.321861427448201, 5.414429781720018, 3.6944380820194045, 5.521769724559061, 4.844727814574213, 7.999999999999998, 10.0, 7.2031122976715585, 8.92973694978865, 0.7692307692307692, 3.9344262295081966, 5.581395348837211, 10.0, 10.0, 9.553255704185252, 8.085581264006985, 8.085581264006985, 3.918731219361411, 7.199554168923857]",34.26612374203942
31,mg_demo_3362,mg_demo_3864,"(1, 1)","[0.94695998679335, 5.252630516297795, 6.342468257979347, 6.827937805168853, 0.43178292749445335, 2.5351853678676814, 5.999999999999999, 6.395223142496601, 0.20599882012298654, 3.3846967653909696, 0.5769230769230766, 0.0, 9.651162790697677, 9.214784626549752, 9.39170914800027, 7.150960512935063, 8.315523560835778, 8.315523560835778, 7.652986761974077, 9.947373394803114]","[1.6764091339377434, 10.0, 5.884815110816442, 1.7274981391148483, 3.555027888093347, 7.288932019376878, 10.0, 7.407060893687338, 7.369367866901557, 9.302319009578303, 0.1923076923076925, 3.606557377049181, 9.883720930232561, 8.033425578058615, 8.413603486036983, 6.709107343261654, 10.0, 10.0, 7.922304014582908, 5.1186941968936495]",33.72831619525727
32,mg_demo_3362,mg_demo_3106,"(1, 2)","[0.94695998679335, 5.252630516297795, 6.342468257979347, 6.827937805168853, 0.43178292749445335, 2.5351853678676814, 5.999999999999999, 6.395223142496601, 0.20599882012298654, 3.3846967653909696, 0.5769230769230766, 0.0, 9.651162790697677, 9.214784626549752, 9.39170914800027, 7.150960512935063, 8.315523560835778, 8.315523560835778, 7.652986761974077, 9.947373394803114]","[9.999999999999998, 3.2518925572510335, 4.8321701328555005, 4.427007133682765, 0.0, 8.231305600598615, 7.999999999999998, 9.030593415694836, 5.192553170517532, 6.532413039547127, 0.9615384615384617, 4.590163934426229, 9.418604651162791, 7.795946513927829, 9.284764063637684, 6.186962488162998, 8.410237159106257, 8.410237159106257, 3.461418896257956, 9.360641011035622]",30.586848084911498
33,mg_demo_3362,mh_demo_26,"(1, 3)","[0.94695998679335, 5.252630516297795, 6.342468257979347, 6.827937805168853, 0.43178292749445335, 2.5351853678676814, 5.999999999999999, 6.395223142496601, 0.20599882012298654, 3.3846967653909696, 0.5769230769230766, 0.0, 9.651162790697677, 9.214784626549752, 9.39170914800027, 7.150960512935063, 8.315523560835778, 8.315523560835778, 7.652986761974077, 9.947373394803114]","[0.0, 0.6145637025432453, 0.0, 1.7686004538176339, 4.198094831123141, 2.5935188117286767, 0.0, 7.835787765294638, 7.993039074416489, 8.695555731397327, 7.500000000000001, 10.0, 4.186046511627908, 2.6377312378463595, 0.618883270115349, 2.3393893232396965, 0.0, 0.0, 4.955925022090376, 4.877439408125856]",67.58180699838428
34,mg_demo_3362,ph_demo_13,"(1, 3)","[0.94695998679335, 5.252630516297795, 6.342468257979347, 6.827937805168853, 0.43178292749445335, 2.5351853678676814, 5.999999999999999, 6.395223142496601, 0.20599882012298654, 3.3846967653909696, 0.5769230769230766, 0.0, 9.651162790697677, 9.214784626549752, 9.39170914800027, 7.150960512935063, 8.315523560835778, 8.315523560835778, 7.652986761974077, 9.947373394803114]","[0.04037748208320735, 6.372397224709696, 1.699010703114367, 1.30184379859803, 0.07016223057775406, 4.44823078495495, 1.9999999999999998, 4.335068519375074, 7.701515180124548, 10.0, 5.961538461538463, 9.508196721311474, 3.9534883720930245, 1.4365089079238538, 0.9096473594324108, 2.251602374310186, 0.34100048164506225, 0.34100048164506225, 2.0328296724504367, 4.812916171772933]",64.50535200687548
